format,metric,year,value_actual
DVD Audio,Units,1988,0.0
DVD Audio,Units,1989,0.0
DVD Audio,Units,1990,0.0
DVD Audio,Units,1991,0.0
DVD Audio,Units,1992,0.0
DVD Audio,Units,1993,0.0
DVD Audio,Units,1994,0.0
DVD Audio,Units,1995,0.0
DVD Audio,Units,1996,0.0
DVD Audio,Units,1997,0.0
DVD Audio,Units,1998,0.0
DVD Audio,Units,1999,0.0
DVD Audio,Units,2000,0.0
DVD Audio,Units,2001,0.263
DVD Audio,Units,2002,0.43
DVD Audio,Units,2003,0.4
DVD Audio,Units,2004,0.3
DVD Audio,Units,2005,0.5
DVD Audio,Units,2006,0.1
DVD Audio,Units,2007,0.2
DVD Audio,Units,2008,0.04
DVD Audio,Units,2009,0.1
DVD Audio,Units,2010,0.04
DVD Audio,Units,2011,0.01
DVD Audio,Units,2012,0.008533145
DVD Audio,Units,2013,0.0
DVD Audio,Units,2014,0.066542722
DVD Audio,Units,2015,0.179506738
DVD Audio,Units,2016,0.085898932
DVD Audio,Units,2017,0.061332251
DVD Audio,Units,2018,0.092803246
DVD Audio,Units,2019,0.027982262
SACD,Units,1973,0.0
SACD,Units,1974,0.0
SACD,Units,1975,0.0
SACD,Units,1976,0.0
SACD,Units,1977,0.0
SACD,Units,1978,0.0
SACD,Units,1979,0.0
SACD,Units,1980,0.0
SACD,Units,1981,0.0
SACD,Units,1982,0.0
SACD,Units,1983,0.0
SACD,Units,1984,0.0
SACD,Units,1985,0.0
SACD,Units,1986,0.0
SACD,Units,1987,0.0
SACD,Units,1988,0.0
SACD,Units,1989,0.0
SACD,Units,1990,0.0
SACD,Units,1991,0.0
SACD,Units,1992,0.0
SACD,Units,1993,0.0
SACD,Units,1994,0.0
SACD,Units,1995,0.0
SACD,Units,1996,0.0
SACD,Units,1997,0.0
SACD,Units,1998,0.0
SACD,Units,1999,0.0
SACD,Units,2000,0.0
SACD,Units,2001,0.0
SACD,Units,2002,0.0
SACD,Units,2003,1.3
SACD,Units,2004,0.8
SACD,Units,2005,0.5
SACD,Units,2006,0.3
SACD,Units,2007,0.2
SACD,Units,2008,0.1
SACD,Units,2009,0.1
SACD,Units,2010,0.1
SACD,Units,2011,0.1
SACD,Units,2012,0.065446
SACD,Units,2013,0.044683
SACD,Units,2014,0.030486
SACD,Units,2015,0.041633
SACD,Units,2016,0.045272
SACD,Units,2017,0.032749
SACD,Units,2018,0.032804
SACD,Units,2019,0.017654
Download Single,Units,1973,0.0
Download Single,Units,1974,0.0
Download Single,Units,1975,0.0
Download Single,Units,1976,0.0
Download Single,Units,1977,0.0
Download Single,Units,1978,0.0
Download Single,Units,1979,0.0
Download Single,Units,1980,0.0
Download Single,Units,1981,0.0
Download Single,Units,1982,0.0
Download Single,Units,1983,0.0
Download Single,Units,1984,0.0
Download Single,Units,1985,0.0
Download Single,Units,1986,0.0
Download Single,Units,1987,0.0
Download Single,Units,1988,0.0
Download Single,Units,1989,0.0
Download Single,Units,1990,0.0
Download Single,Units,1991,0.0
Download Single,Units,1992,0.0
Download Single,Units,1993,0.0
Download Single,Units,1994,0.0
Download Single,Units,1995,0.0
Download Single,Units,1996,0.0
Download Single,Units,1997,0.0
Download Single,Units,1998,0.0
Download Single,Units,1999,0.0
Download Single,Units,2000,0.0
Download Single,Units,2001,0.0
Download Single,Units,2002,0.0
Download Single,Units,2003,0.0
Download Single,Units,2004,139.4
Download Single,Units,2005,366.9
Download Single,Units,2006,586.4
Download Single,Units,2007,819.4
Download Single,Units,2008,1042.7
Download Single,Units,2009,1124.4
Download Single,Units,2010,1177.4
Download Single,Units,2011,1332.3
Download Single,Units,2012,1402.739373351
Download Single,Units,2013,1332.795365733
Download Single,Units,2014,1154.37932687
Download Single,Units,2015,986.2550359
Download Single,Units,2016,743.003413783
Download Single,Units,2017,553.516151775
Download Single,Units,2018,399.773852346
Download Single,Units,2019,335.339193535
Download Album,Units,1973,0.0
Download Album,Units,1974,0.0
Download Album,Units,1975,0.0
Download Album,Units,1976,0.0
Download Album,Units,1977,0.0
Download Album,Units,1978,0.0
Download Album,Units,1979,0.0
Download Album,Units,1980,0.0
Download Album,Units,1981,0.0
Download Album,Units,1982,0.0
Download Album,Units,1983,0.0
Download Album,Units,1984,0.0
Download Album,Units,1985,0.0
Download Album,Units,1986,0.0
Download Album,Units,1987,0.0
Download Album,Units,1988,0.0
Download Album,Units,1989,0.0
Download Album,Units,1990,0.0
Download Album,Units,1991,0.0
Download Album,Units,1992,0.0
Download Album,Units,1993,0.0
Download Album,Units,1994,0.0
Download Album,Units,1995,0.0
Download Album,Units,1996,0.0
Download Album,Units,1997,0.0
Download Album,Units,1998,0.0
Download Album,Units,1999,0.0
Download Album,Units,2000,0.0
Download Album,Units,2001,0.0
Download Album,Units,2002,0.0
Download Album,Units,2003,0.0
Download Album,Units,2004,4.6
Download Album,Units,2005,13.6
Download Album,Units,2006,27.6
Download Album,Units,2007,49.8
Download Album,Units,2008,63.6
Download Album,Units,2009,74.5
Download Album,Units,2010,85.8
Download Album,Units,2011,103.9
Download Album,Units,2012,116.733631841
Download Album,Units,2013,117.979213042
Download Album,Units,2014,114.230470801
Download Album,Units,2015,106.783884116
Download Album,Units,2016,85.123349893
Download Album,Units,2017,66.386103763
Download Album,Units,2018,49.734924535
Download Album,Units,2019,40.202712338
Kiosk,Units,1973,0.0
Kiosk,Units,1974,0.0
Kiosk,Units,1975,0.0
Kiosk,Units,1976,0.0
Kiosk,Units,1977,0.0
Kiosk,Units,1978,0.0
Kiosk,Units,1979,0.0
Kiosk,Units,1980,0.0
Kiosk,Units,1981,0.0
Kiosk,Units,1982,0.0
Kiosk,Units,1983,0.0
Kiosk,Units,1984,0.0
Kiosk,Units,1985,0.0
Kiosk,Units,1986,0.0
Kiosk,Units,1987,0.0
Kiosk,Units,1988,0.0
Kiosk,Units,1989,0.0
Kiosk,Units,1990,0.0
Kiosk,Units,1991,0.0
Kiosk,Units,1992,0.0
Kiosk,Units,1993,0.0
Kiosk,Units,1994,0.0
Kiosk,Units,1995,0.0
Kiosk,Units,1996,0.0
Kiosk,Units,1997,0.0
Kiosk,Units,1998,0.0
Kiosk,Units,1999,0.0
Kiosk,Units,2000,0.0
Kiosk,Units,2001,0.0
Kiosk,Units,2002,0.0
Kiosk,Units,2003,0.0
Kiosk,Units,2004,0.0
Kiosk,Units,2005,0.7
Kiosk,Units,2006,1.4
Kiosk,Units,2007,1.8
Kiosk,Units,2008,1.6
Kiosk,Units,2009,1.7
Kiosk,Units,2010,1.7
Kiosk,Units,2011,1.3
Kiosk,Units,2012,1.95507
Kiosk,Units,2013,3.7442
Kiosk,Units,2014,1.592073358
Kiosk,Units,2015,2.202659889
Kiosk,Units,2016,1.74878121
Kiosk,Units,2017,1.322377717
Kiosk,Units,2018,1.097856529
Kiosk,Units,2019,0.899703865
Download Music Video,Units,1973,0.0
Download Music Video,Units,1974,0.0
Download Music Video,Units,1975,0.0
Download Music Video,Units,1976,0.0
Download Music Video,Units,1977,0.0
Download Music Video,Units,1978,0.0
Download Music Video,Units,1979,0.0
Download Music Video,Units,1980,0.0
Download Music Video,Units,1981,0.0
Download Music Video,Units,1982,0.0
Download Music Video,Units,1983,0.0
Download Music Video,Units,1984,0.0
Download Music Video,Units,1985,0.0
Download Music Video,Units,1986,0.0
Download Music Video,Units,1987,0.0
Download Music Video,Units,1988,0.0
Download Music Video,Units,1989,0.0
Download Music Video,Units,1990,0.0
Download Music Video,Units,1991,0.0
Download Music Video,Units,1992,0.0
Download Music Video,Units,1993,0.0
Download Music Video,Units,1994,0.0
Download Music Video,Units,1995,0.0
Download Music Video,Units,1996,0.0
Download Music Video,Units,1997,0.0
Download Music Video,Units,1998,0.0
Download Music Video,Units,1999,0.0
Download Music Video,Units,2000,0.0
Download Music Video,Units,2001,0.0
Download Music Video,Units,2002,0.0
Download Music Video,Units,2003,0.0
Download Music Video,Units,2004,0.0
Download Music Video,Units,2005,1.9
Download Music Video,Units,2006,9.9
Download Music Video,Units,2007,14.2
Download Music Video,Units,2008,20.8
Download Music Video,Units,2009,20.5
Download Music Video,Units,2010,18.4
Download Music Video,Units,2011,16.3
Download Music Video,Units,2012,10.473489
Download Music Video,Units,2013,8.412464
Download Music Video,Units,2014,6.82264392
Download Music Video,Units,2015,3.223325002
Download Music Video,Units,2016,2.145427196
Download Music Video,Units,2017,1.399889693
Download Music Video,Units,2018,1.115985226
Download Music Video,Units,2019,0.93412583
Ringtones & Ringbacks,Units,1973,0.0
Ringtones & Ringbacks,Units,1974,0.0
Ringtones & Ringbacks,Units,1975,0.0
Ringtones & Ringbacks,Units,1976,0.0
Ringtones & Ringbacks,Units,1977,0.0
Ringtones & Ringbacks,Units,1978,0.0
Ringtones & Ringbacks,Units,1979,0.0
Ringtones & Ringbacks,Units,1980,0.0
Ringtones & Ringbacks,Units,1981,0.0
Ringtones & Ringbacks,Units,1982,0.0
Ringtones & Ringbacks,Units,1983,0.0
Ringtones & Ringbacks,Units,1984,0.0
Ringtones & Ringbacks,Units,1985,0.0
Ringtones & Ringbacks,Units,1986,0.0
Ringtones & Ringbacks,Units,1987,0.0
Ringtones & Ringbacks,Units,1988,0.0
Ringtones & Ringbacks,Units,1989,0.0
Ringtones & Ringbacks,Units,1990,0.0
Ringtones & Ringbacks,Units,1991,0.0
Ringtones & Ringbacks,Units,1992,0.0
Ringtones & Ringbacks,Units,1993,0.0
Ringtones & Ringbacks,Units,1994,0.0
Ringtones & Ringbacks,Units,1995,0.0
Ringtones & Ringbacks,Units,1996,0.0
Ringtones & Ringbacks,Units,1997,0.0
Ringtones & Ringbacks,Units,1998,0.0
Ringtones & Ringbacks,Units,1999,0.0
Ringtones & Ringbacks,Units,2000,0.0
Ringtones & Ringbacks,Units,2001,0.0
Ringtones & Ringbacks,Units,2002,0.0
Ringtones & Ringbacks,Units,2003,0.0
Ringtones & Ringbacks,Units,2004,0.0
Ringtones & Ringbacks,Units,2005,170.0
Ringtones & Ringbacks,Units,2006,315.0
Ringtones & Ringbacks,Units,2007,433.8
Ringtones & Ringbacks,Units,2008,405.1
Ringtones & Ringbacks,Units,2009,294.3
Ringtones & Ringbacks,Units,2010,188.5
Ringtones & Ringbacks,Units,2011,115.4
Ringtones & Ringbacks,Units,2012,58.757403556
Ringtones & Ringbacks,Units,2013,39.366235778
Ringtones & Ringbacks,Units,2014,26.632323683
Ringtones & Ringbacks,Units,2015,21.924866054
Ringtones & Ringbacks,Units,2016,22.620785392
Ringtones & Ringbacks,Units,2017,14.262869941
Ringtones & Ringbacks,Units,2018,10.026286725
Ringtones & Ringbacks,Units,2019,8.605769716
Paid Subscription,Units,1973,0.0
Paid Subscription,Units,1974,0.0
Paid Subscription,Units,1975,0.0
Paid Subscription,Units,1976,0.0
Paid Subscription,Units,1977,0.0
Paid Subscription,Units,1978,0.0
Paid Subscription,Units,1979,0.0
Paid Subscription,Units,1980,0.0
Paid Subscription,Units,1981,0.0
Paid Subscription,Units,1982,0.0
Paid Subscription,Units,1983,0.0
Paid Subscription,Units,1984,0.0
Paid Subscription,Units,1985,0.0
Paid Subscription,Units,1986,0.0
Paid Subscription,Units,1987,0.0
Paid Subscription,Units,1988,0.0
Paid Subscription,Units,1989,0.0
Paid Subscription,Units,1990,0.0
Paid Subscription,Units,1991,0.0
Paid Subscription,Units,1992,0.0
Paid Subscription,Units,1993,0.0
Paid Subscription,Units,1994,0.0
Paid Subscription,Units,1995,0.0
Paid Subscription,Units,1996,0.0
Paid Subscription,Units,1997,0.0
Paid Subscription,Units,1998,0.0
Paid Subscription,Units,1999,0.0
Paid Subscription,Units,2000,0.0
Paid Subscription,Units,2001,0.0
Paid Subscription,Units,2002,0.0
Paid Subscription,Units,2003,0.0
Paid Subscription,Units,2004,0.0
Paid Subscription,Units,2005,1.3
Paid Subscription,Units,2006,1.7
Paid Subscription,Units,2007,1.8
Paid Subscription,Units,2008,1.6
Paid Subscription,Units,2009,1.2
Paid Subscription,Units,2010,1.5
Paid Subscription,Units,2011,1.8
Paid Subscription,Units,2012,3.36
Paid Subscription,Units,2013,6.16
Paid Subscription,Units,2014,7.73
Paid Subscription,Units,2015,10.84
Paid Subscription,Units,2016,22.68
Paid Subscription,Units,2017,35.273501216
Paid Subscription,Units,2018,46.91132324
Paid Subscription,Units,2019,60.381947607
Paid Subscription,Units,1973,0.0
Paid Subscription,Units,1974,0.0
Paid Subscription,Units,1975,0.0
Paid Subscription,Units,1976,0.0
Paid Subscription,Units,1977,0.0
Paid Subscription,Units,1978,0.0
Paid Subscription,Units,1979,0.0
Paid Subscription,Units,1980,0.0
Paid Subscription,Units,1981,0.0
Paid Subscription,Units,1982,0.0
Paid Subscription,Units,1983,0.0
Paid Subscription,Units,1984,0.0
Paid Subscription,Units,1985,0.0
Paid Subscription,Units,1986,0.0
Paid Subscription,Units,1987,0.0
Paid Subscription,Units,1988,0.0
Paid Subscription,Units,1989,0.0
Paid Subscription,Units,1990,0.0
Paid Subscription,Units,1991,0.0
Paid Subscription,Units,1992,0.0
Paid Subscription,Units,1993,0.0
Paid Subscription,Units,1994,0.0
Paid Subscription,Units,1995,0.0
Paid Subscription,Units,1996,0.0
Paid Subscription,Units,1997,0.0
Paid Subscription,Units,1998,0.0
Paid Subscription,Units,1999,0.0
Paid Subscription,Units,2000,0.0
Paid Subscription,Units,2001,0.0
Paid Subscription,Units,2002,0.0
Paid Subscription,Units,2003,0.0
Paid Subscription,Units,2004,0.0
